"MutantVarietyID","Variety Name","Local Name","Local Registration Year","Local Registration Number","Local Registration Agency","National Registration Number","National Registration Agency","Latin Name","Common Name","Country Name","Short Description","Miscellaneous","Character Improvement Details","Registration","PropagationModeType","UsageSubcategory","MutantDevelopmentType","Intellectual Property","Mutagen Treatment Type","Physical Mutagen","Chemical Mutagen","Treatment Material Type","Continent Name"
"2034","Indianapolis Yellow Improvment","","1970","","","","","Chrysanthemum L.","Chrysanthemum","Netherlands","The mutant variety Indianapolis Yellow Improvment was officialy approved in 1970. It was developed by treatment of rooted cuttings with x-rays (15 Gy). Main improved attributes of mutant variety are improved type, darker yellow flower color and better growth.","","Improved type, darker yellow flower color and better growth","1970","Vegetative - Suckers","Flowers","Direct development of an induced mutant","","Physical","X-rays","","Vegetative propagates","Europe"
"1033","Indira","","1980","","","","","Oryza sativa L.","Rice","India","The mutant variety Indira was officialy approved in 1980. It was developed by treatment of seeds with chemical mutagen EMS. Main improved attribute of mutant variety is early maturity.","","Early maturity","1980","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Chemical","","Ethyl Methanesulfonate","Seed","Asia"
"327","Indore-2","","1950","","","","","Gossypium L.","Cotton","India","The mutant variety Indore-2 was officialy approved in 1950. It was developed by irradiation of seeds with x-rays. Main improved atribute is high yield. The mutant variety was cultivated till 1961 up to 120 000 ha.","","High yield","1950","Seed - Self pollination","Fibre crop","Direct development of an induced mutant","","Physical","X-rays","","Seed","Asia"
"940","Inga","","1982","","","","","Hordeum vulgare L.","Barley","Denmark","The mutant variety Inga was officialy approved in 1982. It was developed by hybridization with mutant variety Goldfield.","","","1982","Seed - Self pollination","Cereals","Crossing with one mutant variety","","","","","","Europe"
"1765","Ingana","","1984","","","","","Rhododendron simsii Planch.","Azalea","Belgium","The mutant variety Ingana was officially approved in 1983. It was developed by recurrent irradiation with gamma rays. Main improved attributes of mutant variety is flower color from blue-red with white edge to yellow-red with white edge.","","Changed flower color from blue-red with white edge to yellow-red with white edge","1984","Vegetative - Cuttings","Flowers","Direct development of an induced mutant","","Physical","Gamma rays - recurrent","","","Europe"
"1296","Ingot","","1980","","","","","Hordeum vulgare L.","Barley","United Kingdom","The mutant variety Ingot was officialy approved in 1980. It was developed by hybridization with mutant variety Midas obtained by irradiation of seeds with gamma rays (240 Gy).","","","1980","Seed - Self pollination","Cereals","Crossing with one mutant variety","","Physical","Gamma rays","","Seed","Europe"
"1766","Ingrid","","1995","","","","","Chrysanthemum ×morifolium Ramat. ex Hemsl.","Chrysanthemum","Brazil","The mutant variety Ingrid was officially approved in 1995. It was developed by irradiation with 20 Gy gamma rays. Main improved attribute of mutant variety is pink flower color.","","Pink flower color","1995","Vegetative - Suckers","Flowers","Direct development of an induced mutant","","Physical","Gamma rays","","","Latin America and the Caribbean"
"1389","Inna","","1991","","","","","Triticum aestivum L.","Wheat","Russian Federation","The mutant variety Inna was officialy approved in 1991. It was developed by hybridization with mutant variety Nemchinovskaya 86 induced by treatment of seeds with N-nitroso-N-ethyl urea (NEU). Main improved attributes of variety are resistance to low temperature and resistance to lodging.","","Resistance to low temperature and resistance to lodging","1991","Seed - Self pollination","Cereals","Crossing with one mutant","","Chemical","","Nitrosoethylurea","Seed","Europe"
"4891","Inpari Mugibat","","","","","","Agricultural Ministry of Indonesia","Oryza sativa L.","Rice","Indonesia","","","High yield, early maturity, moderate resistant to brown planthopper","2012","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","Seed","Asia"
"4874","Inpari Sidenuk","","","","","","Agricultural Ministry of Indonesia","Oryza sativa L.","Rice","Indonesia","","","High yield, early maturity, moderate resistant to brown planthopper","2011","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays","","Seed","Asia"
"3425","Inshas 10","","2011","","","","Ministry of Agric and Land Reclamation, Variety Registration Committee","Carthamus tinctorius L.","Safflower","Egypt","The variety was bred through selection pedigree method and crossing between the best mutants and local variety Giza 1. Commercial value: The net outcome per unite area (Fadden) is estimated to amount about 2996 Egyptian pound / Fadden, which increases the local variety outcome by 13.1 %.  Also, the percentage of outcome to costs indicate that investment of one pound gives a return of 1.07 pound, which is an increase compared to the local variety of 0.96 pound. Area of cultivation: 10000 Hectares","","•	Spineless •	High seed yield and yield component •	High oleic fatty acid in oil •	White flower •	Resistant for leaf spots and smut •	Resistant for tunnel insects and main pests","2011","Seed - Self pollination","Edible oil plants","Crossing with one mutant","","Physical","Gamma rays","","Seed","Africa"
"3426","Inshas 11","","2011","","","","Ministry of Agric and Land Reclamation, Variety Registration Committee","Carthamus tinctorius L.","Safflower","Egypt","The variety was bred through selection pedigree method and crossing between the best mutants and local variety Giza 1. Commercial value: The net outcome per unite area (Fadden) is estimated to amount about 2996 Egyptian pound / Fadden, which increases the local variety outcome by 17.1 %.  Also, the percentage of outcome to costs indicate that investment of one pound gives a return of 1.09 pound, which is an increase compared to the local variety of 0.96 pound. Area of cultivation: 10000 Hectares","","•	Spineless •	High seed yield and yield component (not mutation derived) •	High oleic fatty acid in oil •	Yellow flower •	Resistant for leaf spots and smut •	Resistant for tunnel insects and main pests","2011","Seed - Self pollination","Edible oil plants","Crossing with one mutant","","Physical","Gamma rays","","Seed","Africa"
"1048","Intan Mutant","","1988","","","","","Oryza sativa L.","Rice","India","The mutant variety Intan Mutant was officialy approved in 1988. It was developed by treatment of seeds with 0.2% EI for 4 hours. Main improved attributes of mutant variety are  photoperiod insensitivity and early maturity.","","Photoperiod insensitivity and early maturity","1988","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Chemical","","Ethylene Imine","Seed","Asia"
"214","Interstate","","1970","","","","","Lespedeza cuneata (Dum.Cours.) G.Don","Chinese lespedeza","United States","The mutant variety Interstate was officialy approved in 1970. It was developed by treatment with thermal neutrons for 2 hours. Main improved attributes of mutant variety are compact fine stem, leafy, good tillering and seedling vigour.","","Compact fine stem, leafy, good tillering and seedling vigour","1970","Seed - Open-pollinating","Fodder","Direct development of an induced mutant","","Physical","Neutrons - thermal neutrons","","Seed","North America"
"215","Interstate 76","","1979","","","","","Lespedeza cuneata (Dum.Cours.) G.Don","Chinese lespedeza","United States","The mutant variety Interstate 76 was officialy approved in 1979. It was developed by hybridization with mutant variety Interstate (Interstate x Ala L11). Mutant variety Interstate was obtained by treatment with thN. Main improved attributes of mutant variety are resistence to Meloidogyne incognita and high yield.","","Resistence to Meloidogyne incognita and high yield","1979","Seed - Open-pollinating","Fodder","Crossing with one mutant variety","","Physical","Neutrons - thermal neutrons","","Seed","North America"
"1094","Intesar","","1992","","","","","Triticum aestivum L.","Wheat","Iraq","The mutant variety Intesar was officialy approved in 1982. It was developed by irradiation of F3 generation (cross Saber Beg x Lachis) with 100 Gy gamma rays. Main improved attribute of mutant variety is high yield (40% more than Saber Beg).","","High yield (40%)","1992","Seed - Self pollination","Cereals","Mutagenic treatment of breeding material (F1, F2, seeds, ect)","","Physical","Gamma rays","","","Asia"
"3398","Ion-no-Hatsune","","2003","","","14569","Ministry of Agriculture, Forestry and Fisheries (MAFF)","Chrysanthemum L.","Chrysanthemum","Japan","The mutant variety Ion-no-Kouki was officialy approved in 2003. It was developed by irradiation of in vitro culture (petal culture) with 5 Gy C ion beams. Main improved attribute of mutant variety is complex with light pink and bright orange yellow.","","Complex with light pink and bright orange yellow","2006","Vegetative - Suckers","Flowers","Direct development of an induced mutant","","Physical","Gamma rays","","In vitro culture","Asia"
"3399","Ion-no-Kouki","","2003","","","14570","Ministry of Agriculture, Forestry and Fisheries (MAFF)","Chrysanthemum L.","Chrysanthemum","Japan","The mutant variety Ion-no-Kouki was officialy approved in 2003. It was developed by irradiation of in vitro culture (petal culture) with 20 Gy C ion beams. Main improved attribute of mutant variety is complex with light yellow and pink.","","Complex with light yellow and pink","2006","Vegetative - Suckers","Flowers","Direct development of an induced mutant","","Physical","Gamma rays","","In vitro culture","Asia"
"3395","Ion-no-Koumyou","","2003","","","14567","Ministry of Agriculture, Forestry and Fisheries (MAFF)","Chrysanthemum L.","Chrysanthemum","Japan","","","","2006","Vegetative - Suckers","Flowers","","","","","","","Asia"
